,w,H
0,0.0,0.44201034
1,0.006135923151542565,0.44760436
2,0.01227184630308513,0.464099
3,0.018407769454627694,0.490654
4,0.02454369260617026,0.5259377
5,0.03067961575771282,0.56822324
6,0.03681553890925539,0.61551267
7,0.04295146206079795,0.6656751
8,0.04908738521234052,0.71658826
9,0.05522330836388308,0.7662737
10,0.06135923151542564,0.8130109
11,0.0674951546669682,0.8554252
12,0.07363107781851078,0.8925424
13,0.07976700097005335,0.923809
14,0.0859029241215959,0.9490759
15,0.09203884727313846,0.9685557
16,0.09817477042468103,0.9827549
17,0.1043106935762236,0.9923917
18,0.11044661672776616,0.9983073
19,0.11658253987930872,1.0013819
20,0.12271846303085128,1.0024589
21,0.12885438618239387,1.0022874
22,0.1349903093339364,1.001481
23,0.14112623248547898,1.0004996
24,0.14726215563702155,0.9996482
25,0.15339807878856412,0.9990921
26,0.1595340019401067,0.9988824
27,0.16566992509164924,0.9989885
28,0.1718058482431918,0.9993297
29,0.17794177139473438,0.9998047
30,0.18407769454627693,1.0003151
31,0.1902136176978195,1.0007788
32,0.19634954084936207,1.0011373
33,0.20248546400090464,1.001356
34,0.2086213871524472,1.001419
35,0.21475731030398978,1.0013231
36,0.22089323345553233,1.0010746
37,0.2270291566070749,1.0006862
38,0.23316507975861744,1.0001833
39,0.23930100291016002,0.9996128
40,0.24543692606170256,0.99905646
41,0.25157284921324513,0.9986499
42,0.25770877236478773,0.99859583
43,0.2638446955163303,0.99917865
44,0.2699806186678728,1.0007695
45,0.2761165418194154,1.0038222
46,0.28225246497095796,1.0088577
47,0.28838838812250056,1.0164402
48,0.2945243112740431,1.0271376
49,0.30066023442558565,1.0414814
50,0.30679615757712825,1.0599161
51,0.3129320807286708,1.0827556
52,0.3190680038802134,1.1101406
53,0.32520392703175593,1.1420093
54,0.3313398501832985,1.1780794
55,0.3374757733348411,1.2178497
56,0.3436116964863836,1.260615
57,0.34974761963792617,1.3055011
58,0.35588354278946877,1.3515102
59,0.36201946594101125,1.3975797
60,0.36815538909255385,1.4426439
61,0.37429131224409645,1.4856968
62,0.380427235395639,1.5258493
63,0.3865631585471816,1.5623761
64,0.39269908169872414,1.5947509
65,0.3988350048502667,1.6226618
66,0.4049709280018093,1.6460158
67,0.4111068511533518,1.6649228
68,0.4172427743048944,1.6796697
69,0.42337869745643697,1.6906817
70,0.42951462060797957,1.6984789
71,0.43565054375952206,1.7036327
72,0.44178646691106466,1.7067198
73,0.4479223900626072,1.7082878
74,0.4540583132141498,1.708823
75,0.46019423636569234,1.7087318
76,0.4663301595172349,1.7083315
77,0.4724660826687775,1.7078482
78,0.47860200582032003,1.7074246
79,0.48473792897186263,1.7071337
80,0.4908738521234051,1.7069937
81,0.4970097752749478,1.7069869
82,0.5031456984264903,1.7070749
83,0.5092816215780329,1.7072129
84,0.5154175447295755,1.7073605
85,0.521553467881118,1.7074872
86,0.5276893910326605,1.7075762
87,0.5338253141842031,1.7076222
88,0.5399612373357456,1.70763
89,0.5460971604872883,1.7076118
90,0.5522330836388308,1.7075797
91,0.5583690067903734,1.7075466
92,0.5645049299419159,1.7075199
93,0.5706408530934585,1.7075028
94,0.5767767762450011,1.7074953
95,0.5829126993965437,1.7074928
96,0.5890486225480862,1.7074903
97,0.5951845456996288,1.7074827
98,0.6013204688511713,1.7074678
99,0.607456392002714,1.7074459
100,0.6135923151542565,1.7074202
101,0.619728238305799,1.7073958
102,0.6258641614573416,1.7073793
103,0.6320000846088841,1.7073765
104,0.6381360077604268,1.7073904
105,0.6442719309119693,1.7074218
106,0.6504078540635119,1.7074673
107,0.6565437772150543,1.7075204
108,0.662679700366597,1.7075728
109,0.6688156235181395,1.7076148
110,0.6749515466696822,1.7076379
111,0.6810874698212248,1.7076368
112,0.6872233929727672,1.7076095
113,0.6933593161243098,1.707559
114,0.6994952392758523,1.707492
115,0.705631162427395,1.7074184
116,0.7117670855789375,1.7073509
117,0.7179030087304801,1.7073003
118,0.7240389318820225,1.7072763
119,0.7301748550335652,1.7072843
120,0.7363107781851077,1.7073244
121,0.7424467013366504,1.7073914
122,0.7485826244881929,1.7074753
123,0.7547185476397354,1.7075639
124,0.760854470791278,1.7076423
125,0.7669903939428205,1.7076975
126,0.7731263170943632,1.7077197
127,0.7792622402459057,1.7077041
128,0.7853981633974483,1.7076517
129,0.7915340865489909,1.7075697
130,0.7976700097005334,1.7074703
131,0.8038059328520759,1.7073689
132,0.8099418560036186,1.7072816
133,0.8160777791551611,1.7072232
134,0.8222137023067037,1.7072037
135,0.8283496254582462,1.707228
136,0.8344855486097889,1.7072928
137,0.8406214717613314,1.70739
138,0.8467573949128739,1.7075045
139,0.8528933180644165,1.7076186
140,0.8590292412159591,1.7077142
141,0.8651651643675016,1.7077755
142,0.8713010875190441,1.7077914
143,0.8774370106705868,1.7077581
144,0.8835729338221293,1.707679
145,0.8897088569736719,1.7075659
146,0.8958447801252144,1.7074351
147,0.9019807032767571,1.7073072
148,0.9081166264282996,1.7072026
149,0.9142525495798421,1.7071385
150,0.9203884727313847,1.707127
151,0.9265243958829273,1.7071713
152,0.9326603190344698,1.7072661
153,0.9387962421860125,1.7073983
154,0.944932165337555,1.7075477
155,0.9510680884890975,1.7076914
156,0.9572040116406401,1.7078061
157,0.9633399347921826,1.7078725
158,0.9694758579437253,1.7078785
159,0.9756117810952678,1.7078207
160,0.9817477042468102,1.7077062
161,0.9878836273983529,1.707551
162,0.9940195505498955,1.7073789
163,1.000155473701438,1.7072163
164,1.0062913968529805,1.7070901
165,1.012427320004523,1.7070217
166,1.0185632431560658,1.7070241
167,1.0246991663076084,1.7071004
168,1.030835089459151,1.7072407
169,1.0369710126106935,1.7074252
170,1.043106935762236,1.7076257
171,1.0492428589137786,1.7078112
172,1.055378782065321,1.7079507
173,1.0615147052168636,1.7080193
174,1.0676506283684062,1.7080029
175,1.0737865515199487,1.7079003
176,1.0799224746714913,1.7077242
177,1.086058397823034,1.7074999
178,1.0921943209745766,1.7072614
179,1.0983302441261191,1.7070477
180,1.1044661672776617,1.7068949
181,1.1106020904292042,1.7068313
182,1.1167380135807468,1.7068725
183,1.1228739367322893,1.707017
184,1.1290098598838318,1.7072464
185,1.1351457830353744,1.7075279
186,1.141281706186917,1.7078167
187,1.1474176293384597,1.708065
188,1.1535535524900022,1.708228
189,1.1596894756415448,1.7082726
190,1.1658253987930873,1.7081833
191,1.1719613219446299,1.7079662
192,1.1780972450961724,1.70765
193,1.184233168247715,1.7072821
194,1.1903690913992575,1.7069236
195,1.1965050145508,1.7066381
196,1.2026409377023426,1.7064829
197,1.2087768608538851,1.7064967
198,1.214912784005428,1.706692
199,1.2210487071569704,1.7070502
200,1.227184630308513,1.7075204
201,1.2333205534600555,1.7080256
202,1.239456476611598,1.7084731
203,1.2455923997631406,1.7087696
204,1.2517283229146832,1.7088376
205,1.2578642460662257,1.7086346
206,1.2640001692177683,1.7081653
207,1.2701360923693108,1.7074896
208,1.2762720155208536,1.7067218
209,1.2824079386723959,1.7060201
210,1.2885438618239387,1.705562
211,1.2946797849754812,1.705511
212,1.3008157081270237,1.7059762
213,1.3069516312785663,1.7069651
214,1.3130875544301086,1.7083362
215,1.3192234775816514,1.7097597
216,1.325359400733194,1.7106868
217,1.3314953238847365,1.7103373
218,1.337631247036279,1.7077055
219,1.3437671701878218,1.7015917
220,1.3499030933393643,1.6906542
221,1.3560390164909069,1.6734838
222,1.3621749396424496,1.6486953
223,1.368310862793992,1.6150278
224,1.3744467859455345,1.5714498
225,1.380582709097077,1.5172569
226,1.3867186322486196,1.4521537
227,1.3928545554001623,1.3763142
228,1.3989904785517047,1.2904111
229,1.4051264017032472,1.1956134
230,1.41126232485479,1.0935463
231,1.4173982480063327,0.98622096
232,1.423534171157875,0.875933
233,1.4296700943094176,0.76514065
234,1.4358060174609601,0.65633047
235,1.4419419406125027,0.55188054
236,1.448077863764045,0.45393237
237,1.4542137869155878,0.36427936
238,1.4603497100671303,0.28428358
239,1.4664856332186729,0.21482234
