Mag_dB
27.1
28.3
29.2
25.3
25.6
26.2
26.8
27
28.3
28
28.1
26.4
24.7
25
26.4
28.2
29.1
29.1
27.4
25.4
27
27.7
26.9
28.5
30
30.4
27.5
25.7
26.3
28.9
31
31
30.7
28.2
25.5
26
28.9
30.4
30.5
29.8
28.4
27
27.5
29
30.6
31.7
31.3
31
29.4
28
29.1
31.5
33.7
34.3
33.7
32.9
30.2
30.5
33.3
35.2
36.4
36.5
34.9
32.9
32.5
34.7
36.9
38
37.3
36
32
32.7
36.5
39.5
40.4
39.7
37.9
35.6
35.9
38.9
41.5
42.7
42.4
41.1
39.2
38.2
41.2
43.8
45.4
45.7
44.7
42.3
41.7
43.3
46.5
48.1
48.8
47.8
44.7
43
43
46
48.5
48.3
46.6
43
40.3
43.1
46.2
48
47.5
46
43.4
42
44.2
46.7
47.8
48
47.5
46.2
46.4
47.7
49.5
51
51.7
51.6
51
50.3
50.7
52.2
53.7
54.7
55
54.8
54
53.7
54.8
56.2
57.7
58.1
58.2
57.5
57
57.4
58.9
60.5
61.2
61
60.7
60
60.4
62
63.3
64.1
64
63.5
62.8
62.8
63.9
65.1
66
66.2
65.9
65.3
65.2
66
67.6
68.7
69.3
69.5
69
69
70
71.2
72.6
73.1
73
72.2
71.5
71
72.2
72
72.2
71.6
70.4
69
68
68.2
68.5
68.5
68
66.7
65.2
64.2
63.9
64.1
64.4
63.9
63
62
60.2
60.1
60.8
61
61.1
60.5
59.5
58.3
57.7
57.5
58.5
58.4
57.8
56.9
55.6
55
55.1
55.7
55.5
55.3
54.5
54
53.5
54
54.9
55.5
55.5
55
54.4
53.9
53.8
54
54.6
54.4
54
53
52.2
52
52
52.5
52.8
52.5
51.6
50.7
50
50
50.2
50.4
50.5
50
48.8
47.7
48
48.3
48.7
48.5
47.7
46.5
46
45.7
46.4
46.8
46.8
46.3
45.3
44
43.4
44
44.9
45
44.4
43.3
42
41.5
42
43
43.3
43
42
40.3
39.9
40.3
41.8
42
42.3
41.6
40.9
40.3
40.7
42.1
43
43.8
43.3
42.8
42.8
44
45.9
47.3
48.4
49.3
50
50.5
51
50.5
49.9
48.1
46.4
44.8
43.1
41.9
42
41
40.7
40.4
40
39.5
38.8
38.7
39.5
40.3
40.7
41
40.1
40.8
42.2
44.6
46
45.7
44
42.3
42
